Sample,genome,Read Count,Mean,covered_fraction,Length
3000m1000m,A3500m150m.255,4889,0.18724152,0.05291858,2633952
3000m1000m,R4500m50m.211,112,0.002752052,0.0011431966,1966416
3000m1000m,R500m50m.106,110,0.006128728,0.0029299762,1052227
3000m1000m,A3500m3000m.211,32158,1.2442758,0.12622601,3232155
3000m1000m,R4500m4000m.170,1192,0.054774236,0.03667231,2332523
3000m1000m,A3000m150m.59,1585,0.12183014,0.07633592,1648621
3000m1000m,A4000m50m.141,4249,0.13902932,0.008618988,1281473
3000m1000m,A3000m3000m.172,552359,21.615585,0.96959394,3475917
3000m1000m,A3500m50m.126,722,0.017018761,0.0060516363,2143883
3000m1000m,A3000m150m.133,50217,2.0640633,0.33778042,3064556
3000m1000m,A3000m2000m.181,11268,0.87832695,0.38187706,1706557
3000m1000m,A4500m4000m.221,1476,0.042851612,0.010158706,1861359
3000m1000m,A3000m3000m.39,7195600,164.86383,0.99976623,6176511
3000m1000m,A4500m3000m.78,46100,3.7022896,0.70995945,1251925
3000m1000m,A4500m150m.57,233,0.0073336717,0.0019933288,1492980
3000m1000m,A3500m3000m.189,80997,6.478806,0.7349378,1654955
3000m1000m,A3000m150m.196,2731,0.5913806,0.13048461,401373
3000m1000m,R4000m1000m.144,126718,5.170818,0.96202683,3420782
3000m1000m,A4500m150m.90,1804,0.06493362,0.0079568345,2630443
3000m1000m,R500m50m.230,344,0.012206155,0.0067549753,1964478
3000m1000m,A3500m50m.110,1020,0.016655672,0.0069275224,3335969
3000m1000m,R3500m3000m.173,39618,5.075586,0.78773063,1036372
3000m1000m,R4500m3000m.303,26996,1.0844434,0.037117723,2126639
3000m1000m,R3500m50m.187,826,0.110826395,0.07432036,985746
3000m1000m,A3500m150m.268,72975,5.4134417,0.624376,1783302
3000m1000m,A4500m150m.345,9653,0.19656815,0.11632094,5649602
3000m1000m,A500m50m.109,133000,0.49530318,0.05638803,8302861
3000m1000m,A4500m500m.234,14894,0.23113683,0.07784305,5666492
3000m1000m,R3000m3000m.195,400,0.012560787,0.007122856,1771340
3000m1000m,R4000m150m.105,861,0.04273974,0.024002966,1758866
3000m1000m,A3000m1000m.118,366216,10.469863,0.9978682,4993404
3000m1000m,A4500m150m.107,3750,0.11299204,0.005214789,2489842
3000m1000m,A4000m50m.99,569,0.024843989,0.006043907,2423267
3000m1000m,A3000m50m.233,367,0.013201512,0.0059424173,1210955
3000m1000m,A3500m500m.38,55148,4.1691003,0.91793823,1868336
3000m1000m,A3000m50m.268,2192,0.11729705,0.008245621,1406201
3000m1000m,A4000m2000m.76,88315,3.7870123,0.8813968,3266108
3000m1000m,R4000m1000m.169,3586718,322.26993,0.9990034,1598481
3000m1000m,A4500m4000m.227,18117,0.39930785,0.22916351,5973608
3000m1000m,A3500m50m.66,349,0.021117503,0.001922528,1341983
3000m1000m,A500m50m.194,505,0.012475034,0.006471121,1733239
3000m1000m,A4500m3000m.69,13137,1.0983942,0.4354675,1574083
3000m1000m,A4500m4000m.39,44699,1.6316475,0.10013723,3306892
3000m1000m,A4000m150m.125,2480,0.12397112,0.06024001,2242629
3000m1000m,A4500m50m.168,375,0.022218628,0.0012104221,1338376
3000m1000m,A4500m500m.197,382583,57.29218,0.9434719,936755
3000m1000m,A3000m2000m.237,836284,32.47749,0.978909,3672561
3000m1000m,A4500m150m.65,10061,0.12626456,0.066378675,7536095
3000m1000m,A3500m150m.212,5919,0.23157817,0.078248374,2869887
3000m1000m,A4000m3000m.153,17800,0.9186149,0.10971844,2020180
3000m1000m,R4000m50m.42,2315,0.14694211,0.09371887,1917394
3000m1000m,A3000m500m.223,84114,8.41605,0.91082513,1358724
3000m1000m,A3000m1000m.34,121782,6.4617023,0.98164,2689485
3000m1000m,A3500m500m.74,257975,76.67093,0.98356557,474187
3000m1000m,A3000m150m.195,14495,0.46312118,0.062851846,2443190
3000m1000m,A4500m50m.106,57969,2.4689877,0.77669895,3317199
3000m1000m,A500m50m.51,1497,0.028528417,0.017573593,4716793
3000m1000m,A4500m4000m.131,6797,0.15081434,0.054432128,4148414
3000m1000m,A3000m50m.17,1009,0.027654074,0.0076252786,1728986
3000m1000m,A500m50m.181,961,0.04975266,0.0147672,984750
3000m1000m,A3500m1000m.161,412259,53.963715,0.9986321,1074614
3000m1000m,A4500m150m.64,259,0.0073399865,0.003516567,2209257
3000m1000m,R4000m150m.206,305,0.011682128,0.0069754613,1742107
3000m1000m,A3500m3000m.231,31502,1.4398813,0.44615346,2094954
3000m1000m,A4500m150m.289,12228,0.5699786,0.2535615,2502320
3000m1000m,A4000m500m.31,174414,29.042543,0.970699,850893
3000m1000m,A4500m3000m.187,15661,0.8237983,0.3173683,1936901
3000m1000m,A4500m3000m.62,75708,1.7419603,0.5496105,5797258
3000m1000m,A4500m150m.39,386,0.017897226,0.004715691,1381982
3000m1000m,R4500m150m.319,89,0.0025894914,0.0012828802,1848185
3000m1000m,A3000m50m.101,6066,0.26029772,0.013588219,1581885
3000m1000m,A3000m3000m.103,9750,0.5427014,0.25829723,2071594
3000m1000m,A4000m500m.118,321419,42.736404,0.98344034,1021096
3000m1000m,A4500m2000m.176,136990,5.2147813,0.8641695,3495400
3000m1000m,R3500m50m.180,51,0.0014978626,9.783892e-4,1517801
3000m1000m,A3000m500m.32,45665,4.3318996,0.88043994,1487729
3000m1000m,A4500m4000m.71,8874,0.8209583,0.3546066,1263792
3000m1000m,A3500m150m.181,1890,0.11547113,0.023696108,1696439
3000m1000m,A4000m150m.179,3556,0.20039389,0.10888826,2292653
3000m1000m,A4500m500m.233,98667,9.288254,0.92740315,1346436
3000m1000m,A500m50m.248,46456,0.07005067,0.0082919095,1464319
3000m1000m,R4500m4000m.208,12011,0.7378357,0.27107123,2044780
3000m1000m,A4000m150m.217,15341,1.4585329,0.24766023,776253
3000m1000m,R3000m500m.64,24016,4.2762923,0.77679676,733121
3000m1000m,A4000m50m.79,274,0.010143502,0.0035085017,987031
3000m1000m,R500m50m.289,16860,0.93092537,0.46750873,2439595
3000m1000m,R4000m1000m.202,193279,9.868021,0.96781486,2819004
3000m1000m,A3500m2000m.96,141363,4.6366105,0.8937556,4285874
3000m1000m,R3000m2000m.79,12168,0.7725296,0.254417,2001643
3000m1000m,R3500m150m.202,1541,0.0619972,0.01906058,1080240
3000m1000m,A3000m3000m.101,2770,0.14222932,0.062008105,1787863
3000m1000m,A3500m150m.343,4702,0.36437842,0.089625835,1379022
3000m1000m,A3000m3000m.276,1292,0.023816142,0.0070733605,3555877
3000m1000m,A4500m4000m.7,305,0.021065557,0.01117113,1049849
3000m1000m,R3000m1000m.189,720758,23.091513,0.99985963,4352940
3000m1000m,A3000m2000m.233,110903,2.696091,0.5153631,3333702
3000m1000m,R3500m150m.214,674,0.024214232,0.005748145,2398339
3000m1000m,A4500m150m.141,3067,0.06750536,0.006277712,3216777
3000m1000m,R3000m50m.162,1570,0.02855882,0.005386841,2753005
