scaffold,reconciled_taxonomy
OC1703_3000m_3000m_sens_contig_1859440,Planctomycetota
OC1703_4500m_4000m_sens_contig_3155869,Planctomycetota
OC1703_4500m_3000m_sens_contig_2379566,Planctomycetota
OC1703_4500m_2000m_sens_contig_3268519,Planctomycetota
OC1703_3000m_2000m_sens_contig_4409777,Planctomycetota
OC1703_3000m_150m_sens_contig_1379528,Planctomycetota
OC1703_3000m_150m_sens_contig_4395961,Planctomycetota
OC1703_3000m_3000m_sens_contig_3179916,Planctomycetota
OC1703_4500m_4000m_sens_contig_1441557,Planctomycetota
OC1703_4500m_4000m_sens_contig_1989854,Planctomycetota
OC1703_4000m_2000m_sens_contig_2602526,unclassified
OC1703_4500m_1000m_sens_contig_1948261,Pseudomonadota;unclassified
OC1703_4000m_1000m_sens_contig_3079755,Pseudomonadota;unclassified
OC1703_4500m_2000m_sens_contig_4034241,Pseudomonadota;unclassified
OC1703_4500m_4000m_sens_contig_4172142,Pseudomonadota;unclassified
OC1703_3000m_2000m_sens_contig_4337163,Pseudomonadota;unclassified
OC1703_3500m_2000m_sens_contig_1623954,Pseudomonadota;unclassified
OC1703_4000m_3000m_sens_contig_1004529,Pseudomonadota;unclassified
OC1703_4500m_3000m_sens_contig_3886236,Pseudomonadota;unclassified
OC1703_3500m_3000m_sens_contig_2178022,Pseudomonadota;unclassified
OC1703_3000m_3000m_sens_contig_3249647,Pseudomonadota;unclassified
OC1703_3500m_1000m_sens_contig_468339,Pseudomonadota;unclassified
OC1703_3000m_1000m_sens_contig_3554182,Pseudomonadota;unclassified
OC1703_3000m_150m_sens_contig_2746975,Pseudomonadota;Gammaproteobacteria
OC1703_500m_150m_sens_contig_4245729,Pseudomonadota;Gammaproteobacteria
OC1703_500m_50m_sens_contig_3771925,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_2304028,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_500m_sens_contig_4345888,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_500m_sens_contig_71734,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_3501441,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_500m_sens_contig_2283301,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_2894064,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_519423,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_500m_sens_contig_1608694,Pseudomonadota;Gammaproteobacteria
OC1703_500m_500m_sens_contig_121895,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_50m_sens_contig_3383798,eukaryote
OC1703_3000m_50m_sens_contig_890841,eukaryote
OC1703_4500m_50m_sens_contig_4021843,eukaryote
OC1703_4000m_50m_sens_contig_1661934,eukaryote
OC1703_3500m_50m_sens_contig_4354393,eukaryote
OC1703_3500m_50m_sens_contig_958083,eukaryote
OC1703_3000m_50m_sens_contig_2646026,eukaryote
OC1703_500m_50m_sens_contig_4151794,eukaryote
OC1703_4500m_50m_sens_contig_751397,eukaryote
OC1703_4500m_150m_sens_contig_5530210,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_5449883,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_6994973,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_2043199,Planctomycetota
OC1703_3000m_1000m_sens_contig_353389,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_1000m_sens_contig_2093937,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_150m_sens_contig_379634,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_3000m_sens_contig_3243273,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_3000m_sens_contig_2404900,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_4410870,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_3000m_sens_contig_2346525,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_150m_sens_contig_4515469,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_500m_sens_contig_4982426,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_500m_sens_contig_1877030,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_150m_sens_contig_3535019,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_1000m_sens_contig_2488710,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_500m_sens_contig_5921275,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_500m_sens_contig_1255740,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_1000m_sens_contig_2030393,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_1000m_sens_contig_1832037,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_2161376,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_150m_sens_contig_3436758,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_4117383,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_150m_sens_contig_245818,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_150m_sens_contig_4025747,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_50m_sens_contig_3267355,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_4000m_sens_contig_957727,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_50m_sens_contig_3756193,Actinomycetota
OC1703_4500m_50m_sens_contig_4949922,Actinomycetota
OC1703_3000m_50m_sens_contig_2359402,Actinomycetota
OC1703_4500m_50m_sens_contig_2725726,Actinomycetota
OC1703_3000m_50m_sens_contig_1320207,Actinomycetota
OC1703_3500m_50m_sens_contig_3869129,Actinomycetota
OC1703_3000m_50m_sens_contig_5671475,Actinomycetota
OC1703_4500m_50m_sens_contig_1105853,Actinomycetota
OC1703_3000m_50m_sens_contig_3315352,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_1307182,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_742457,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_2383328,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_50m_sens_contig_3484024,Actinomycetota
OC1703_4500m_150m_sens_contig_3073381,Pseudomonadota;Alphaproteobacteria
OC1703_3000m_1000m_sens_contig_3615179,Pseudomonadota;Alphaproteobacteria
OC1703_3500m_50m_sens_contig_435858,Pseudomonadota;Alphaproteobacteria
OC1703_4500m_50m_sens_contig_6943526,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_50m_sens_contig_3223703,Pseudomonadota;Alphaproteobacteria
OC1703_4000m_3000m_sens_contig_1049039,Pseudomonadota;Betaproteobacteria
OC1703_4500m_4000m_sens_contig_185453,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_1094733,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_435350,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_2859602,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_2645467,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_2517785,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_2011735,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_1027690,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_3000m_sens_contig_1759168,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_2000m_sens_contig_3104848,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_967215,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_2000m_sens_contig_1349023,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_2000m_sens_contig_2841499,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_2000m_sens_contig_152343,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_3697255,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_150m_sens_contig_289507,Pseudomonadota;Gammaproteobacteria
OC1703_500m_50m_sens_contig_2948358,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_1000m_sens_contig_3247673,Pseudomonadota;Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_966130,Pseudomonadota;Gammaproteobacteria
OC1703_4500m_1000m_sens_contig_1217943,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_150m_sens_contig_5586107,Pseudomonadota;Gammaproteobacteria
OC1703_3500m_1000m_sens_contig_1987460,Pseudomonadota;Gammaproteobacteria
OC1703_500m_500m_sens_contig_3643841,Pseudomonadota;Gammaproteobacteria
OC1703_3000m_150m_sens_contig_1395529,Actinomycetota
