gene_id	gene_description	module	header
K22622	soxD; S-disulfanyl-L-cysteine oxidoreductase SoxD [EC:1.8.2.6]	Thiosulfate oxidation	Sulfur
K17223	soxX; sulfur-oxidizing protein SoxX	Thiosulfate oxidation	Sulfur
K17227	soxZ; sulfur-oxidizing protein SoxZ	Thiosulfate oxidation	Sulfur
K00394	aprA-adenylylsulfate reductase-subunit A [EC:1.8.99.2]	Sulfite oxidation	Sulfur
K00958	sat-sulfate adenylyltransferase [EC:2.7.7.4]	Sulfite oxidation	Sulfur
K17229	fccB-sulfide dehydrogenase [flavocytochrome c] flavoprotein chain [EC:1.8.2.3]	Sulfide oxidation	Sulfur
K17218	sqr-sulfide:quinone oxidoreductase [EC:1.8.5.4]	Sulfide oxidation	Sulfur
K03119	tauD-taurine dioxygenase [EC:1.14.11.17]	Sulfite production from org. sulfur	Sulfur
K11180	dsrA-dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5]	Sulfur oxidation	Sulfur
K11181	dsrB-dissimilatory sulfite reductase beta subunit [EC:1.8.99.5]	Sulfur oxidation	Sulfur
K17725	sdo-sulfur dioxygenase [EC:1.13.11.18]	Sulfur oxidation	Sulfur
K16952	sor-sulfur oxygenase/reductase [EC:1.13.11.55]	Sulfur oxidation	Sulfur
K08352	phsA-thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]	Thiosulfate disproportionation	Sulfur
K17224	soxB-S-sulfosulfanyl-L-cysteine sulfohydrolase [EC:3.1.6.20]	Thiosulfate oxidation	Sulfur
K17225	soxC-sulfane dehydrogenase subunit SoxC	Thiosulfate oxidation	Sulfur
K17226	soxY-sulfur-oxidizing protein SoxY	Thiosulfate oxidation	Sulfur
